stk,date,ret,pb,mv,rf,MarketCapRank,PB_Ratio,Size_Group,PB_Group,SMB,HML,ret_rf,rm,rmxrf,Skewness20,SharpeRatio20,S_VAL_PS,NET_ASSETS_TODAY,VOL20,WVAD
000100.SZ,2017-03-03,-0.0027855153203342,-0.7746471362722261,-0.3727209462739823,2.557,59.0,-0.7746471362722261,Small,Low,-2.03091306186236,2.5368816921620825,-2.559785515320334,-0.3627,-2.9197,0.6900222305282471,0.1365771895162837,-0.9993606470011184,-0.1197890586808144,0.89972,-900067.4650000008
000100.SZ,2017-09-06,-0.0027855153203342,-0.7408404999224989,-0.4277321180231042,1.995,33.0,-0.7408404999224989,Small,Low,-1.805590852759236,2.3705975296646544,-1.9977855153203343,0.0317,-1.9633,-0.603154324802619,-0.1494018226029791,-1.0289559152969203,-0.1975920245743984,0.5798000000000003,-61172.18633333716
000100.SZ,2017-10-30,-0.0134529147982062,-0.4983643468909806,0.1731737303112166,2.032,99.5,-0.4983643468909806,Small,Low,-2.0650850338110147,1.744429692623914,-2.045452914798206,-0.7748,-2.8068,0.5436202464031976,0.4825580183572975,-1.0281315102733968,-0.1695342118954575,2.975410000000001,4825929.02508888
000100.SZ,2017-10-31,-0.0136363636363637,-0.7796595460824126,-0.455109394284135,2.333,46.0,-0.7796595460824126,Small,Low,-1.558421564697184,2.1892824212420154,-2.346636363636364,0.0886,-2.2444,0.6079062127238736,0.4190681142853339,-1.0229640108976223,-0.176339194983891,3.0779850000000004,1290379.4410888772
000100.SZ,2018-03-02,-0.0188679245283018,-0.7755653407865607,-0.3838775551698533,2.6,75.5,-0.7755653407865607,Small,Low,-1.8565558757649945,2.364367600430497,-2.6188679245283017,-0.5873,-3.1873,0.5133029855577534,-0.0278326874889677,-1.0516946327059675,-0.1112741385014143,1.223835000000001,3873466.298593859
000100.SZ,2018-09-12,0.0,-0.7865237754978267,-0.3891122285096906,1.7722,77.5,-0.7865237754978267,Small,Low,-2.3245292545837803,2.260234706048372,-1.7722,-0.3261,-2.0983,0.7575256500230033,-0.15271606126371,-1.0323662319171416,-0.1067768839508563,0.4602050000000008,-949736.5663333372
000100.SZ,2018-09-17,-0.0183150183150182,-0.7690440632388171,-0.3661560089134521,2.511,63.5,-0.7690440632388171,Small,Low,-1.8976103776650584,1.993601384089149,-2.5293150183150184,-1.1133,-3.6243,0.66163127216348,-0.1781298575041716,-1.035077169430798,-0.1066674227640486,0.4470950000000007,-986864.4296666732
000100.SZ,2018-09-18,0.0186567164179103,-0.7798995075956687,-0.3802664817473105,1.546,53.0,-0.7798995075956687,Small,Low,-1.6961159727513735,2.193225762364368,-1.5273432835820897,1.8162,0.2702,0.6181402065621131,-0.1271536993301054,-1.034220202718437,-0.101195470584272,0.4444000000000007,-226627.16258334008
000100.SZ,2018-11-05,-0.0039525691699603,-0.792632956353234,-0.4026468397701042,2.278,94.0,-0.792632956353234,Small,Low,-2.1685085302776725,2.108146243605934,-2.2819525691699605,-0.4127,-2.6907,-0.7029843892142165,-0.145638496056218,-1.029651349138149,-0.1293244986478263,0.4996150000000007,430008.4945833413
000100.SZ,2019-01-17,-0.0037313432835821,-0.7741636338927269,-0.3712349228623642,2.195,35.5,-0.7741636338927269,Small,Low,-1.923594583451254,1.9787851089455373,-2.198731343283582,-0.4196,-2.6146,0.6396055837373568,0.2176938549163088,-1.0342518084761163,-0.1278199608135824,0.7338450000000007,-3015065.670515144
000100.SZ,2019-03-13,-0.0389610389610389,-0.7964183884220504,-0.3708666762929697,1.814,21.5,-0.7964183884220504,Small,Low,-1.978755465543239,2.168455144096418,-1.852961038961039,-1.09,-2.904,0.5634454638456663,0.1351687818423764,-1.0136907192041742,-0.1389957829205543,3.314195,-4608093.217994237
000100.SZ,2019-04-04,-0.0072992700729928,-0.7847171003888253,-0.3853193323617489,2.3595,63.5,-0.7847171003888253,Small,Low,-2.23803612516872,2.4325845130912342,-2.3667992700729927,0.9413,-1.4182,0.316333758401864,0.0694727750391233,-1.0122717245208954,-0.1079604652880872,3.416665000000002,-175652.60144187743
