S_INFO_WINDCODE,TRADE_DT,S_DQ_CLOSE,S_FA_ROE,Skewness20,WVAD,S_VAL_PS,NET_ASSETS_TODAY,TOT_CUR_LIAB
000100.SZ,2017-02-06,3.53,6.8212,0.8823710667125526,124636.28749999286,0.4123,25385408071.0,67293101000.0
000100.SZ,2017-02-07,3.5,6.8212,0.8038095513784886,-350971.8585000068,0.4088,25385408071.0,67293101000.0
000100.SZ,2017-02-08,3.52,6.8212,0.6974472985764585,73577.32649999793,0.4111,25385408071.0,67293101000.0
000100.SZ,2017-02-09,3.52,6.8212,0.6974472985764585,102775.82400000184,0.4111,25385408071.0,67293101000.0
000100.SZ,2017-02-10,3.58,6.8212,0.4614980091013573,1521049.4240000006,0.4181,25385408071.0,67293101000.0
000100.SZ,2017-02-13,3.6,6.8212,0.503727951666785,2077881.5840000056,0.4204,25385408071.0,67293101000.0
000100.SZ,2017-02-14,3.62,6.8212,0.4074462739343401,2168511.0292857224,0.4228,25385408071.0,67293101000.0
000100.SZ,2017-02-15,3.6,6.8212,0.4058598473085255,2155742.207747262,0.4204,25385408071.0,67293101000.0
000100.SZ,2017-02-16,3.66,6.8212,0.4085625125319373,2409052.35131869,0.4274,25385408071.0,67293101000.0
000100.SZ,2017-02-17,3.62,6.8212,0.5483795127100822,2095291.5302075767,0.4228,25385408071.0,67293101000.0
000100.SZ,2017-02-20,3.74,6.8212,0.7450514082189481,2216152.9771306566,0.4368,25385408071.0,67293101000.0
000100.SZ,2017-02-21,3.73,6.8212,0.828842949691129,1601377.3504639824,0.4356,25385408071.0,67293101000.0
000100.SZ,2017-02-22,3.76,6.8212,0.7075418041464009,1815671.336178264,0.4391,25385408071.0,67293101000.0
000100.SZ,2017-02-23,3.69,6.8212,0.5228307180020282,1356850.0722621807,0.4309,25385408071.0,67293101000.0
000100.SZ,2017-02-24,3.69,6.8212,0.7090330498218868,898176.1036907502,0.4309,25385408071.0,67293101000.0
000100.SZ,2017-02-27,3.63,6.8212,0.7429294730207868,550930.0048018608,0.4239,25385408071.0,67293101000.0
000100.SZ,2017-02-28,3.64,6.8212,0.6617463334742584,-624196.0371212185,0.4251,25385408071.0,67293101000.0
000100.SZ,2017-03-01,3.61,6.8212,0.7083429438123027,-870400.5604545504,0.4216,25385408071.0,67293101000.0
000100.SZ,2017-03-02,3.59,6.8212,0.7076921423914247,-1725359.8454545503,0.4193,25385408071.0,67293101000.0
000100.SZ,2017-03-03,3.58,6.8212,0.6900222305282471,-900067.4650000008,0.4181,25385408071.0,67293101000.0
000100.SZ,2017-03-06,3.62,6.8212,0.7356988156153651,-456606.3700000008,0.4228,25385408071.0,67293101000.0
000100.SZ,2017-03-07,3.63,6.8212,0.6523631102335975,102096.85999999916,0.4239,25385408071.0,67293101000.0
000100.SZ,2017-03-08,3.59,6.8212,0.7639929252088768,-337854.8150000008,0.4193,25385408071.0,67293101000.0
000100.SZ,2017-03-09,3.55,6.8212,0.8059311832419677,-317501.68833333126,0.4146,25385408071.0,67293101000.0
000100.SZ,2017-03-10,3.55,6.8212,1.020149120549803,-75705.39333333095,0.4146,25385408071.0,67293101000.0
000100.SZ,2017-03-13,3.58,6.8212,0.9735333542522986,-94394.31208333424,0.4181,25385408071.0,67293101000.0
000100.SZ,2017-03-14,3.54,6.8212,1.1162968865303753,-960261.7750833324,0.4134,25385408071.0,67293101000.0
000100.SZ,2017-03-15,3.54,6.8212,1.0561015945114245,-849850.4330833293,0.4134,25385408071.0,67293101000.0
000100.SZ,2017-03-16,3.57,6.8212,1.1467279083181985,-314839.4930833294,0.4169,25385408071.0,67293101000.0
000100.SZ,2017-03-17,3.54,6.8212,1.1596775186729444,-249463.3277499924,0.4134,25385408071.0,67293101000.0
000100.SZ,2017-03-20,3.54,6.8212,-0.1489516004600106,-149405.65774999018,0.4134,25385408071.0,67293101000.0
000100.SZ,2017-03-21,3.56,6.8212,-0.2464304637320483,-95979.43399998876,0.4158,25385408071.0,67293101000.0
000100.SZ,2017-03-22,3.53,6.8212,-0.0730576993341371,188052.51900000637,0.4123,25385408071.0,67293101000.0
000100.SZ,2017-03-23,3.55,6.8212,-0.0737428507669164,267641.9850000042,0.4146,25385408071.0,67293101000.0
000100.SZ,2017-03-24,3.59,6.8212,-0.0563226826942184,605180.2116666709,0.4193,25385408071.0,67293101000.0
000100.SZ,2017-03-27,3.64,6.8212,0.0450897521338538,1737034.2310952414,0.4251,25385408071.0,67293101000.0
000100.SZ,2017-03-28,3.63,6.8212,0.1521420239922504,1737034.2310952414,0.4239,25385408071.0,67293101000.0
000100.SZ,2017-03-29,3.63,6.8212,0.0550350801213688,1494894.5710952384,0.4239,25385408071.0,67293101000.0
000100.SZ,2017-03-30,3.53,6.8212,-0.8265007160602568,888030.1399413969,0.4123,25385408071.0,67293101000.0
000100.SZ,2017-03-31,3.53,6.8212,-0.8744827653211649,596639.4519413927,0.4123,25385408071.0,67293101000.0
000100.SZ,2017-04-05,3.63,6.8212,0.0228574097897937,919328.615274724,0.4239,25385408071.0,67293101000.0
000100.SZ,2017-04-06,3.61,6.8212,0.1323391602433997,-33218.331153852865,0.4216,25385408071.0,67293101000.0
000100.SZ,2017-04-07,3.63,6.8212,-0.0441087927628439,109342.20884614332,0.4239,25385408071.0,67293101000.0
000100.SZ,2017-04-10,3.58,6.8212,-0.0541631741510068,-20068.017820520457,0.4181,22809404000.0,67293101000.0
000100.SZ,2017-04-11,3.58,6.8212,-0.0541631741510068,725170.8283333244,0.4181,22809404000.0,67293101000.0
000100.SZ,2017-04-12,3.69,6.8212,0.3402382026986302,2359527.925555547,0.4309,22809404000.0,67293101000.0
000100.SZ,2017-04-13,3.65,6.8212,0.3411899522581727,1031662.8822222154,0.4263,22809404000.0,67293101000.0
000100.SZ,2017-04-14,3.57,6.8212,0.2752317646835984,374460.3942222156,0.4169,22809404000.0,67293101000.0
000100.SZ,2017-04-17,3.56,6.8212,0.4020216004824829,231899.85422221955,0.4158,22809404000.0,67293101000.0
000100.SZ,2017-04-18,3.54,6.8212,0.3838961881131719,261405.82838888557,0.4134,22809404000.0,67293101000.0
000100.SZ,2017-04-19,3.51,6.8212,0.4595857429429986,60614.81124602773,0.4099,22809404000.0,67293101000.0
000100.SZ,2017-04-20,3.51,6.8212,0.5277581202684719,-1472352.4059761914,0.4099,22809404000.0,67293101000.0
000100.SZ,2017-08-02,3.77,4.4534,2.1752922200959945,-459318.66037048,0.4325,23664805000.0,70661976000.0
000100.SZ,2017-08-03,3.78,4.4534,2.1619350826206944,2456767.964155836,0.4336,23664805000.0,70661976000.0
000100.SZ,2017-08-04,3.71,8.049,1.8961558146085595,1662497.9908225008,0.4256,23664805000.0,73630125481.0
000100.SZ,2017-08-07,3.72,8.049,1.878274520633715,1643598.4953939354,0.4267,23664805000.0,73630125481.0
000100.SZ,2017-08-08,3.72,8.049,1.8782745206337157,385943.64539393527,0.4267,23664805000.0,73630125481.0
000100.SZ,2017-08-09,3.68,8.049,1.8465262674994516,-1950753.510606065,0.4221,23664805000.0,73630125481.0
000100.SZ,2017-08-10,3.61,8.049,1.6934822969555263,-1252039.174761908,0.4141,23664805000.0,73630125481.0
000100.SZ,2017-08-11,3.53,8.049,1.5394388444370737,-2471646.1112619066,0.4049,23664805000.0,73630125481.0
000100.SZ,2017-08-14,3.58,8.049,1.3838726771727408,-1302047.4659285697,0.4107,23664805000.0,73630125481.0
000100.SZ,2017-08-15,3.6,8.049,1.3342459861421323,-1350885.800261903,0.413,23664805000.0,73630125481.0
000100.SZ,2017-08-16,3.59,8.049,1.3510734032327432,-1350885.800261903,0.4118,23664805000.0,73630125481.0
000100.SZ,2017-08-17,3.6,8.049,1.328697768439337,-523129.9902619012,0.413,23664805000.0,73630125481.0
000100.SZ,2017-08-18,3.59,8.049,1.3455411841656248,273663.35450000205,0.4118,23664805000.0,73630125481.0
000100.SZ,2017-08-21,3.62,8.049,1.26724610150177,1387013.5350000043,0.4153,23664805000.0,73630125481.0
000100.SZ,2017-08-22,3.59,8.049,1.297527692223538,714623.7605000006,0.4118,23664805000.0,73630125481.0
000100.SZ,2017-08-23,3.58,8.049,1.165247202215808,525457.1121666669,0.4107,23664805000.0,73630125481.0
000100.SZ,2017-08-24,3.55,8.049,1.165345949627279,259823.6571666649,0.4072,23664805000.0,73630125481.0
000100.SZ,2017-08-25,3.58,8.049,1.0891148565960005,174716.7671666651,0.4107,23664805000.0,73630125481.0
000100.SZ,2017-08-28,3.61,8.049,1.231461936848821,381868.7018333371,0.4141,23664805000.0,73630125481.0
000100.SZ,2017-08-29,3.59,8.049,-0.3164750909121054,-285450.33016666595,0.4118,23664805000.0,73630125481.0
000100.SZ,2017-08-30,3.59,8.049,-0.5026500712846801,11610.772333336266,0.4118,23664805000.0,73630125481.0
000100.SZ,2017-08-31,3.57,8.049,-0.380766998126683,-133228.73599999858,0.4095,23664805000.0,73630125481.0
000100.SZ,2017-09-01,3.59,8.049,-0.562414545738596,301276.03566666506,0.4118,23664805000.0,73630125481.0
000100.SZ,2017-09-04,3.57,8.049,-0.4270012487674076,-187504.78233333645,0.4095,23664805000.0,73630125481.0
000100.SZ,2017-09-05,3.59,8.049,-0.4759721504637121,-236531.45033333797,0.4118,23664805000.0,73630125481.0
